class,subclasses
 mass regime,"['Giant planet', 'Ice giant', 'Mesoplanet', 'Mini-Neptune', 'Planetar', 'Super-Earth', 'Super-Jupiter', 'Sub-Earth', 'Dwarf Planets']"
 composition,"['Chthonian planet', 'Carbon planet', 'Coreless planet', 'Desert planet', 'Gas dwarf', 'Gas giant', 'Helium planet', 'Hycean planet', 'Ice giant', 'Ice planet', 'Iron planet', 'Lava planet', 'Ocean planet', 'Protoplanet', 'Puffy planet', 'Silicate planet', 'Terrestrial planet', 'Rocky Planets', 'Jovian Planets']"
 orbital regime,"['Circumbinary planet', 'Double planet', 'Eccentric Jupiter', 'Exoplanet', 'Extragalactic planet', 'Goldilocks planet', 'Hot Jupiter', 'Hot Neptune', 'Inferior planets', 'Inner planet', 'Outer planet', 'Pulsar planet', 'Rogue planet', 'Superior planets', 'Trojan planet']"
other types,"['Classical planets', 'Earth analog', 'Hypothetical planet', 'Toroidal planet']"
 size,"['Small Planets', 'Giant Planets']"
  relative positioning to the sun,"['Inner Planets', 'Outer Planet']"
  relative position to the earth,"['Inferior Planets', 'Superior Planets']"
based on the time of discovery,"['Classical Planets', 'Modern Planets']"
